family,name,type,offerId,processName,partialURL,Install,Play
this-war-of-mine/this-war-of-mine,This War of Mine™,base,Origin.OFR.50.0001235,This War of Mine.exe,,Automatable,Automatable
this-war-of-mine/this-war-of-mine,This War of Mine™ - War Child Charity DLC Rank 1,ulc,Origin.OFR.50.0001258,,,,
this-war-of-mine/this-war-of-mine,This War of Mine™ - War Child Charity DLC Rank 2,ulc,Origin.OFR.50.0001268,,,,
this-war-of-mine/this-war-of-mine,This War of Mine™ - War Child Charity DLC Rank 3,ulc,Origin.OFR.50.0001269,,,,
this-war-of-mine/this-war-of-mine,This War of Mine™ Soundtrack,soundtrack,Origin.OFR.50.0001240,,/store/this-war-of-mine/this-war-of-mine/addon/this-war-of-mine-soundtrack?,,
this-war-of-mine/this-war-of-mine,This War of Mine™: The Little Ones DLC,ulc,Origin.OFR.50.0001587,,,,
titanfall/titanfall,Titanfall™ Deluxe Edition,base,Origin.OFR.50.0000739,Titanfall.exe,/store/titanfall/titanfall/deluxe-edition?,Not Automatable: Installing phase takes too long,Automatable
titanfall/titanfall-2,Titanfall™ 2,base,Origin.OFR.50.0001452,Titanfall2.exe,/store/titanfall/titanfall-2/standard-edition?,Automatable,Automatable
titan-quest/titan-quest,Titan Quest Anniversary Edition,base,Origin.OFR.50.0001829,unknown,/store/titan-quest/titan-quest/anniversary-edition?,Automatable,Automatable
toca-touring-car/grid-2,GRID 2™,base,OFB-EAST:109549424,Setup.exe,/store/toca-touring-car/grid-2/standard-edition?,Not automatable: Steam,Automatable
tomb-raider/tomb-raider,Tomb Raider,base,OFB-EAST:109548313,Setup.exe,/store/tomb-raider/tomb-raider/standard-edition?,Not automatable: Steam,Automatable
tomb-raider/tomb-raider,Tomb Raider Survival Edition,base,OFB-EAST:109548315,Setup.exe,/store/tomb-raider/tomb-raider/survival-edition?,Not automatable: Steam,Automatable
tomb-raider/tomb-raider-the-angel-of-darkness,Tomb Raider: The Angel of Darkness,base,Origin.OFR.50.0000696,Launcher.exe,/store/tomb-raider/tomb-raider-the-angel-of-darkness/standard-edition?,Automatable,Automatable
tom-clancy/tom-clancys-the-division,Tom Clancy’s The Division™,base,Origin.OFR.50.0001318,Pending,/store/tom-clancy/tom-clancys-the-division/standard-edition?,Not automatable: Uplay,Automatable
tom-clancy/tom-clancys-the-division,Tom Clancy’s The Division™ Gold Edition,base,Origin.OFR.50.0001316,Pending,/store/tom-clancy/tom-clancys-the-division/gold-edition?,Not automatable: Uplay,Automatable
torchlight/torchlight-ii,Torchlight II™,base,Origin.OFR.50.0001241,ModLauncher.exe,/store/torchlight/torchlight-ii/standard-edition?,Automatable,Automatable
torment/torment-tides-of-numenera,Torment: Tides of Numenera,base,Origin.OFR.50.0002239,TidesOfNumenera.exe,/store/torment/torment-tides-of-numenera/standard-edition?,Automatable,Automatable
torment/torment-tides-of-numenera,Torment: Tides of Numenera Immortal Edition,base,Origin.OFR.50.0002241,TidesOfNumenera.exe,/store/torment/torment-tides-of-numenera/immortal-edition?,Automatable,Automatable
torment/torment-tides-of-numenera,Torment: Tides of Numenera Legacy Edition,base,Origin.OFR.50.0002240,TidesOfNumenera.exe,/store/torment/torment-tides-of-numenera/legacy-edition?,Automatable,Automatable
total-war/rome-total-war,Rome: Total War™ Gold Edition (MAC),base,OFB-EAST:109545714,MAC,/store/total-war/rome-total-war/gold-edition?,Not automatable: Mac,Automatable
trials/trials-evolution,Trials Evolution: Gold Edition,base,OFB-EAST:109549261,External Installer,/store/trials/trials-evolution/gold-edition?,Not automatable: External Installer,Automatable
trine/trine,Trine™ Enchanted Edition,base,Origin.OFR.50.0001309,trine_launcher.exe,/store/trine/trine/standard-edition?,Automatable,Automatable
trine/trine-2,Trine 2™: Complete Story,base,Origin.OFR.50.0001310,trine2_launcher.exe,/store/trine/trine-2/standard-edition?,Automatable,Automatable
trine/trine-3,Trine 3: The Artifacts of Power,base,Origin.OFR.50.0001311,trine3_launcher.exe,/store/trine/trine-3/standard-edition?,Automatable,Automatable
tropico/tropico-3,Tropico 3: Gold Edition (MAC),base,OFB-EAST:109545717,MAC,/store/tropico/tropico-3/gold-edition?,Not automatable: Mac,Automatable
tyranny/tyranny,Tyranny™ Archon Edition,base,Origin.OFR.50.0001825,Tyranny64.exe,/store/tyranny/tyranny/archon-edition?,Automatable,Automatable
tyranny/tyranny,Tyranny™ Commander Edition,base,Origin.OFR.50.0001822,Tyranny64.exe,/store/tyranny/tyranny/commander-edition?,Automatable,Automatable
tyranny/tyranny,Tyranny™ Overlord Edition,base,Origin.OFR.50.0001826,Tyranny64.exe,/store/tyranny/tyranny/overlord-edition?,Automatable,Automatable
ultima/ultima-iii-exodus,Ultima III: Exodus,base,OFB-EAST:39465,DOSBox.exe,/store/ultima/ultima-iii-exodus/standard-edition?,Automatable,Not Automatable: DOSBox.exe
ultima/ultima-ii-the-revenge-of-the-enchantress,Ultima II: The Revenge of the Enchantress,base,OFB-EAST:39464,DOSBox.exe,/store/ultima/ultima-ii-the-revenge-of-the-enchantress/standard-edition?,Automatable,Not Automatable: DOSBox.exe
ultima/ultima-i-the-first-age-of-darkness,Ultima I: The First Age of Darkness,base,OFB-EAST:39130,DOSBox.exe,/store/ultima/ultima-i-the-first-age-of-darkness/standard-edition?,Automatable,Not Automatable: DOSBox.exe
ultima/ultima-iv-quest-of-the-avatar,Ultima IV: Quest of the Avatar,base,OFB-EAST:39466,DOSBox.exe,/store/ultima/ultima-iv-quest-of-the-avatar/standard-edition?,Automatable,Not Automatable: DOSBox.exe
ultima/ultima-ix-ascension,Ultima™ IX: Ascension,base,OFB-EAST:39469,DOSBox.exe,/store/ultima/ultima-ix-ascension/standard-edition?,Automatable,Not Automatable: DOSBox.exe
ultima/ultima-underworld-ii-labyrinth-of-worlds,Ultima™ Underworld 2,base,DR:235665000,DOSBox.exe,/store/ultima/ultima-underworld-ii-labyrinth-of-worlds/standard-edition?,Automatable,Not Automatable: DOSBox.exe
ultima/ultima-underworld-the-stygian-abyss,Ultima™ Underworld 1,base,DR:235664900,DOSBox.exe,/store/ultima/ultima-underworld-the-stygian-abyss/standard-edition?,Automatable,Not Automatable: DOSBox.exe
ultima/ultima-vii,Ultima™ VII: The Complete Edition,base,OFB-EAST:39470,DOSBox.exe,/store/ultima/ultima-vii/complete-edition?,Automatable,Not Automatable: DOSBox.exe
ultima/ultima-viii-pagan,Ultima™ VIII Gold Edition,base,OFB-EAST:39471,DOSBox.exe,/store/ultima/ultima-viii-pagan/gold-edition?,Automatable,Not Automatable: DOSBox.exe
ultima/ultima-vi-the-false-prophet,Ultima VI: The False Prophet,base,OFB-EAST:39468,DOSBox.exe,/store/ultima/ultima-vi-the-false-prophet/standard-edition?,Automatable,Not Automatable: DOSBox.exe
